Name,Lon,Lat,Glon,Glat,Gidx,Gjdx,Dist(km),VZA
CART_SITE,-97.48639,36.60667,-97.4775207158069,36.605433153274134,1782,913,0.8035490777972044,49.11
Cart_Site,-97.48639,36.60667,-97.4775207158069,36.605433153274134,1782,913,0.8035490777972044,49.11
NSA_YJP_BOREAS,-98.290001,55.903,-98.2942565405496,55.924187383165936,2067,310,2.3708087302977883,67.72
FLIN_FLON,-101.690002,54.669998,-101.6799621883404,54.673124829188154,1956,345,0.7332342983627937,67.56
SSA_YJP_BOREAS,-104.650002,53.674999,-104.65517498912976,53.67889325425035,1859,375,0.5509959596673724,67.67
PRINCE_ALBERT,-105.699997,53.200001,-105.69996902152448,53.20831332638182,1822,389,0.9242904006528941,67.659996
Thompson,-97.849998,55.799999,-97.86553425731621,55.80939351673527,2076,312,1.4261507257747683,67.31
HJAndrews,-122.223892,44.238609,-122.21538267828717,44.23557541954899,1189,696,0.7571950985966613,69.76
Ukiah,-118.918884,45.13361,-118.93564582890266,45.129158933416974,1289,657,1.4049653222038347,68.26
Wisconsin,-89.653725,46.051888,-89.66575243748788,46.037262540421445,2186,568,1.8725600488888225,55.28
Ji_Parana,-61.799999,-10.86,-61.8014371594219,-10.852878988126044,3419,3302,0.8072455992620048,19.66
Spokane,-117.53389,47.61972,-117.55716753786012,47.60518315689491,1389,575,2.3785581648566634,68.99
LAMTO,-5.03,6.21,-5.011958041684465,6.200328982668364,5352,2406,2.2658617839980684,78.659996
Bondoukoui,-3.75,11.85,-3.7514069309191025,11.872891048422574,5320,2132,2.549968845423791,80.6
Bidi_Bahn,-2.45,14.06,-2.4188835677038716,14.036814099194725,5307,2031,4.232375621234443,81.88
Park_Brasilia,-47.916668,-15.743333,-47.9100816204948,-15.751921357759818,4068,3548,1.1869502878895286,35.89
Albany_Oregon,-123.066666,44.583332,-123.07738913083033,44.58585324582409,1180,687,0.8942940702069806,70.619995
Biggs,-121.73333,39.450001,-121.71685878680402,39.45288786270464,1072,862,1.4502026139585418,66.61
Chapada,-55.830143,-15.360644,-55.82478411154732,-15.351777089105568,3702,3535,1.1411755275650297,28.269999
Jaru,-62.547749,-10.386164,-62.55254420001624,-10.379920053836926,3381,3277,0.8701236717550779,18.69
Jar16,-62.389167,-10.166944,-62.39082490146549,-10.175724311531777,3390,3266,0.9930447310150295,18.63
Jar32,-62.298056,-10.223611,-62.292681337294155,-10.23238012015488,3395,3269,1.138723315321709,18.789999
JARU_TOWN,-62.467778,-10.443056,-62.47348796986699,-10.436497802307724,3385,3280,0.9600392270406481,18.76
Agri_School,-56.180279,-10.080833,-56.17741817178337,-10.078635101599815,3709,3258,0.3972694112115894,24.699999
Teles_Peres,-56.02,-9.667945,-56.026985376263866,-9.668221584859793,3718,3236,0.7663239101018335,24.63
Lago_Sul,-47.894287,-15.793548,-47.90317562905515,-15.791215663780823,4068,3550,0.9857896720385569,35.95
Shade_Tree,-56.028332,-9.7577,-56.0203189738883,-9.761836229217982,3718,3241,0.9912693704236141,24.68
Red_Bluff,-122.25,40.150002,-122.27091980418254,40.155557584391126,1077,838,1.8822229844548732,67.439995
Pullman,-117.191666,46.75,-117.17950018309244,46.76224271128587,1375,600,1.6468638232412895,68.22
Bordman,-119.666664,45.816666,-119.65106944034069,45.81247667897728,1291,637,1.2952590881949548,69.21
White_Sands,-106.350998,32.918999,-106.33970016466458,32.91179053038848,1395,1079,1.3246335691891853,51.43
AF_gas_station,-55.860001,-9.997,-55.86364464661895,-9.988092052317926,3725,3253,1.0678647945346706,24.949999
ORO_PRETO,-62.23,-10.73,-62.2290643487011,-10.737364203442729,3397,3296,0.8252174685942751,19.24
GORDO_rest,-55.993,-15.401,-56.00330395728277,-15.407088950746127,3693,3538,1.2955797873627097,28.08
Terra_Santa,-55.961388,-9.927222,-55.968059897494896,-9.930847918709816,3720,3250,0.8346142428522719,24.789999
TV_Tower,-47.900002,-16.0,-47.91018353895364,-16.006556762789266,4066,3561,1.3099110622184418,35.98
Missoula,-114.083336,46.916668,-114.09600652282272,46.914023725150535,1455,587,1.0063016932628581,66.659996
Owens_Lake,-117.870697,36.487778,-117.85251543146047,36.49051166398488,1100,963,1.6535627729907525,62.18
Capo_Verde,-22.935499,16.7325,-22.928328910441625,16.73002531288824,4938,1864,0.8115977098709204,61.89
Ouagadougou,-1.48723,12.42413,-1.4649143150660406,12.405924625655834,5332,2110,3.1576377336644783,82.83
UCSB,-119.84536,34.415428,-119.84593911376776,34.40705595824877,998,1051,0.9324432064929664,62.39
Jug_Bay,-76.778099,38.766666,-76.77166527070483,38.77412767677486,2638,811,0.9997543077928376,45.28
SERC,-76.555795,38.888901,-76.55729519473508,38.87999712170498,2647,807,0.9985449283671632,45.41
Burtonsville,-76.949881,39.093714,-76.95057776535826,39.09535656772218,2631,799,0.19228861861125876,45.739998
Gaithersburg,-77.208336,39.133335,-77.21830341838289,39.123321564672565,2620,798,1.406753366218111,45.75
La_Jolla,-117.25113,32.86846,-117.26485410153273,32.86301654576008,1037,1107,1.4175241537863636,59.489998
NS_OJP_BOREAS,-98.620003,55.926998,-98.62146571582345,55.94581874135448,2059,310,2.094752861780832,67.79
SS_OJP_BOREAS,-104.69,53.916,-104.70981727452997,53.92283317599081,1863,369,1.503809232518926,67.84
Boulder,-105.260832,39.991466,-105.25703718848024,39.98251642433592,1559,800,1.0463480412887065,56.17
Barcelona,2.11206,41.38925,2.028609138043945,41.29422709225659,4725,898,12.656117836012896,90.0
